Date, Open, High, Low, Close, Volume
12/21/23, 251.90, 254.7999, 248.55, 254.50, 109594203
12/20/23, 256.41, 259.84, 247.00, 247.14, 125097000
12/19/23, 253.48, 258.3399, 253.01, 257.22, 106737398
12/18/23, 253.78, 258.74, 251.36, 252.08, 116416492
12/15/23, 251.21, 254.13, 248.30, 253.50, 135932797
12/14/23, 241.22, 253.88, 240.79, 251.05, 160829203
12/13/23, 234.19, 240.30, 228.20, 239.29, 146286297
12/12/23, 238.55, 238.99, 233.87, 237.01, 95328312
12/11/23, 242.74, 243.441, 237.45, 239.74, 97913891
12/08/23, 240.27, 245.27, 239.2701, 243.84, 103126797
12/07/23, 241.55, 244.08, 236.98, 242.64, 107142305
12/06/23, 242.92, 246.57, 239.1709, 239.37, 126436203
12/05/23, 233.87, 246.66, 233.70, 238.72, 137971109
12/04/23, 235.75, 239.3733, 233.2902, 235.58, 104099797
12/01/23, 233.14, 240.19, 231.90, 238.83, 121331695
11/30/23, 245.14, 245.22, 236.91, 240.08, 132353203
11/29/23, 249.21, 252.75, 242.76, 244.14, 135401297
11/28/23, 236.68, 247.00, 234.01, 246.72, 148549906
11/27/23, 236.89, 238.33, 232.10, 236.08, 112031797
11/24/23, 233.75, 238.75, 232.33, 235.45, 65125199
11/22/23, 242.04, 244.01, 231.40, 234.21, 118117102
11/21/23, 235.04, 243.62, 233.34, 241.20, 122288000
11/20/23, 234.04, 237.10, 231.02, 235.60, 116562398
11/17/23, 232.00, 237.39, 226.54, 234.30, 142766203
11/16/23, 239.49, 240.88, 230.96, 233.59, 136816797
11/15/23, 239.29, 246.70, 236.45, 242.84, 150354000
11/14/23, 235.03, 238.135, 230.72, 237.41, 149771594
11/13/23, 215.60, 225.40, 211.6101, 223.71, 140447594
11/10/23, 210.03, 215.38, 205.69, 214.65, 131310094
11/09/23, 219.75, 220.80, 206.68, 209.98, 142110500
11/08/23, 223.15, 224.15, 217.64, 222.11, 106584797
11/07/23, 219.98, 223.12, 215.72, 222.18, 116900094
11/06/23, 223.98, 226.32, 215.00, 219.27, 117335797
11/03/23, 221.15, 226.3701, 218.40, 219.96, 119534797
11/02/23, 212.97, 219.20, 211.45, 218.51, 125987602
